39008 84002
15 584 0.052632
15 642 0.052632
15 683 0.166667
15 884 0.055556
15 1011 0.002584
15 1160 0.100000
15 1202 0.111111
15 1344 0.012821
15 1423 0.031250
15 1672 0.045455
15 1855 0.027027
15 1875 0.058824
15 2091 0.250000
15 2092 0.333333
15 2093 1.000000
15 2094 0.125000
15 2095 0.166667
15 2096 0.076923
15 2097 0.066667
15 2098 1.000000
15 2099 1.000000
15 2100 1.000000
15 2101 1.000000
16 229 0.012987
16 299 0.025641
16 438 0.013699
16 1007 0.023256
16 1651 0.045455
16 2102 0.041667
16 2103 0.033333
16 2104 0.076923
16 2105 0.250000
17 31 0.055556
17 348 0.083333
17 365 0.021277
17 409 0.013333
17 545 0.037037
17 1051 0.023810
17 1078 0.125000
17 2059 0.076923
17 2116 0.250000
17 2117 0.066667
17 2118 0.058824
17 2119 0.071429
17 2120 0.142857
17 2121 0.062500
17 2122 0.111111
17 2123 0.200000
17 2124 0.026316
18 436 0.016949
18 1477 0.023256
18 2329 0.066667
18 2330 0.066667
18 2331 0.030303
18 2332 0.142857
20 63 0.050000
20 1066 0.076923
20 1662 0.027778
20 2210 0.200000
20 2334 0.016129
20 2524 0.076923
22 1346 0.043478
22 1966 0.090909
22 2552 0.200000
22 2553 0.250000
22 2554 0.500000
23 7 0.008772
23 252 0.030303
23 291 0.071429
23 367 0.018182
23 624 0.038462
23 795 0.015385
23 870 0.027027
23 1341 0.015873
23 1634 0.020833
23 2832 0.333333
23 2833 0.500000
23 2834 0.333333
23 2835 1.000000
23 2836 0.028571
23 2837 0.166667
23 2838 0.062500
23 2839 0.333333
23 2840 1.000000
24 606 0.005000
24 1828 0.035714
24 2803 0.083333
25 110 0.083333
25 229 0.012987
25 365 0.021277
25 368 0.045455
25 374 0.034483
25 383 0.076923
25 397 0.500000
25 547 0.030303
25 573 0.027027
25 642 0.052632
25 772 0.023256
25 789 0.030303
25 821 0.500000
25 827 0.014706
25 875 0.025000
25 877 0.025641
25 926 0.142857
25 1026 0.030303
25 1169 0.111111
25 1322 0.083333
25 1388 0.012987
25 1398 0.047619
25 1413 0.062500
25 1426 0.040000
25 1528 0.142857
25 1773 0.037037
25 2004 0.333333
25 2017 0.333333
25 2635 0.333333
25 2676 0.031250
25 2873 0.500000
25 2874 0.500000
25 2875 1.000000
25 2876 0.333333
25 2877 1.000000
25 2878 0.076923
25 2879 1.000000
25 2880 0.333333
25 2881 0.250000
25 2882 0.142857
25 2883 0.142857
25 2884 1.000000
25 2885 1.000000
26 25 0.047619
26 102 0.250000
26 335 0.016393
26 433 0.028571
26 513 0.066667
26 549 0.041667
26 712 0.333333
26 790 0.020408
26 803 0.016393
26 823 0.166667
26 856 0.166667
26 880 0.025000
26 1013 0.030303
26 1049 0.033333
26 1208 0.066667
26 1210 0.166667
26 1304 0.041667
26 1389 0.016949
26 1457 0.028571
26 2516 0.058824
26 2791 0.250000
26 2886 0.125000
26 2887 0.500000
26 2888 1.000000
26 2889 0.200000
26 2890 0.083333
26 2891 0.333333
26 2892 0.500000
26 2893 0.066667
27 51 0.034483
27 109 0.023256
27 114 0.017857
27 117 0.055556
27 183 0.027778
27 198 0.033333
27 332 0.333333
27 361 0.052632
27 370 0.013158
27 404 0.016667
27 406 0.013158
27 415 0.030303
27 437 0.014925
27 527 0.016667
27 584 0.052632
27 855 0.076923
27 859 0.045455
27 874 0.008850
27 985 0.047619
27 994 0.013889
27 996 0.052632
27 1018 0.050000
27 1210 0.166667
27 1325 0.028571
27 1392 0.111111
27 1428 0.040000
27 1531 0.083333
27 1537 0.009174
27 1617 0.035714
27 1667 0.024390
27 1805 0.029412
27 1807 0.111111
27 2048 0.076923
27 2110 0.043478
27 2313 0.018182
27 2907 0.166667
27 2908 0.500000
27 2909 0.333333
27 2910 0.062500
27 2911 0.250000
27 2912 0.200000
27 2913 0.200000
27 2914 0.200000
27 2915 0.166667
27 2916 0.142857
28 568 0.055556
28 1145 0.013699
28 1634 0.020833
28 1640 0.047619
28 2930 0.034483
29 326 0.031250
29 438 0.013699
29 1348 0.055556
29 1676 0.043478
29 2147 0.026316
29 3044 0.083333
30 85 0.142857
30 113 0.022222
30 304 0.022727
30 380 0.037037
30 525 0.013889
30 872 0.010753
30 953 0.017241
30 971 0.012821
30 1165 0.034483
30 1344 0.012821
30 1378 0.038462
30 1576 0.019608
30 1676 0.043478
30 1732 0.041667
30 1796 0.030303
30 2961 0.025000
30 3077 0.500000
30 3078 0.166667
30 3079 0.142857
30 3080 0.200000
30 3081 0.250000
30 3082 0.500000
30 3083 0.333333
30 3084 0.250000
30 3085 0.125000
31 363 0.034483
31 376 0.029412
31 1389 0.016949
31 1569 0.100000
31 1571 0.041667
32 11 0.016129
32 27 0.009259
32 113 0.022222
32 120 0.032258
32 177 0.017544
32 525 0.013889
32 528 0.052632
32 543 0.018868
32 544 0.015625
32 877 0.025641
32 1027 0.125000
32 1049 0.033333
32 1389 0.016949
32 1410 0.055556
32 1473 0.035714
32 1635 0.250000
32 2130 0.031250
32 2165 0.166667
32 2676 0.031250
32 3170 0.111111
32 3171 0.333333
32 3172 0.083333
32 3173 0.500000
33 1492 0.041667
33 2821 0.076923
33 3199 0.333333
33 3200 1.000000
33 3201 1.000000
34 322 0.020408
34 498 0.008772
34 524 0.018519
34 729 0.062500
34 758 0.500000
34 1073 0.090909
34 1157 0.100000
34 3270 0.071429
34 3271 0.500000
35 196 0.111111
35 322 0.020408
35 364 0.016129
35 429 0.012346
35 447 0.027027
35 606 0.005000
35 772 0.023256
35 874 0.008850
35 954 0.029412
35 1011 0.002584
35 1017 0.066667
35 2132 0.058824
35 2209 0.027027
35 2890 0.083333
35 3274 0.200000
35 3275 1.000000
35 3276 0.500000
35 3277 1.000000
35 3278 0.071429
35 3279 0.500000
36 652 0.083333
36 1855 0.027027
36 3316 0.076923
37 4 0.022222
37 310 0.035714
37 420 0.031250
37 612 0.012821
37 772 0.023256
37 826 0.016667
37 1154 0.500000
37 2396 0.083333
37 2670 0.111111
37 3005 0.333333
37 3071 0.058824
37 3145 0.500000
37 3317 0.333333
37 3318 0.200000
37 3319 0.333333
37 3320 1.000000
37 3321 0.250000
37 3322 0.090909
37 3323 0.250000
37 3324 1.000000
37 3325 0.333333
37 3326 1.000000
37 3327 0.500000
37 3328 0.200000
37 3329 0.500000
37 3330 0.200000
37 3331 0.500000
37 3332 1.000000
37 3333 1.000000
37 3334 0.200000
37 3335 1.000000
37 3336 1.000000
37 3337 0.500000
37 3338 0.500000
37 3339 1.000000
37 3340 0.500000
37 3341 1.000000
37 3342 1.000000
37 3343 1.000000
37 3344 1.000000
37 3345 1.000000
37 3346 1.000000
38 15 0.031250
38 115 0.030303
38 268 0.011111
38 364 0.016129
38 395 0.047619
38 429 0.012346
38 453 0.111111
38 508 0.027778
38 527 0.016667
38 705 0.166667
38 746 0.125000
38 1033 0.250000
38 1163 0.020833
38 1215 0.200000
38 1219 0.018182
38 1338 0.034483
38 1397 0.045455
38 1529 0.029412
38 1531 0.083333
38 1576 0.019608
38 1682 0.062500
38 1689 0.018519
38 1700 0.500000
38 1717 0.035714
38 1728 0.020833
38 2089 0.333333
38 2332 0.142857
38 2395 0.166667
38 2454 0.333333
38 2636 0.333333
38 2881 0.250000
38 3353 0.500000
38 3354 1.000000
38 3355 1.000000
38 3356 1.000000
38 3357 0.125000
38 3358 0.333333
38 3359 0.500000
38 3360 0.250000
38 3361 0.142857
38 3362 1.000000
38 3363 0.066667
38 3364 1.000000
39 161 0.015152
39 362 0.020408
39 875 0.025000
39 892 0.071429
39 971 0.012821
39 1393 0.043478
39 1795 0.090909
39 1885 0.022222
39 3273 0.250000
39 3469 0.125000
40 401 0.025641
40 631 0.010638
40 877 0.025641
40 880 0.025000
40 1047 0.100000
40 1407 0.058824
40 1873 0.066667
40 3653 0.200000
40 3654 0.166667
40 3655 0.076923
40 3656 0.062500
40 3657 0.500000
40 3658 0.166667
41 225 0.041667
41 3668 0.250000
41 3669 1.000000
41 3670 0.166667
42 138 0.142857
42 236 0.045455
42 299 0.025641
42 336 0.025641
42 1287 0.052632
42 1339 0.019231
42 1393 0.043478
42 1537 0.009174
42 2939 0.200000
42 3678 0.045455
42 3679 0.500000
42 3680 1.000000
42 3681 1.000000
42 3682 1.000000
42 3683 0.166667
42 3684 1.000000
43 3431 0.100000
43 3685 0.333333
43 3686 0.500000
43 3687 0.500000
43 3688 0.125000
43 3689 1.000000
43 3690 0.200000
43 3691 1.000000
43 3692 0.500000
43 3693 1.000000
43 3694 0.500000
43 3695 1.000000
43 3696 1.000000
43 3697 1.000000
44 847 0.062500
45 1341 0.015873
45 1660 0.052632
45 1678 0.066667
45 1710 0.055556
46 3726 0.166667
47 121 0.035714
47 124 0.020000
47 186 0.026316
47 198 0.033333
47 248 0.100000
47 252 0.030303
47 411 0.125000
47 523 0.008547
47 543 0.018868
47 798 0.071429
47 971 0.012821
47 1281 0.333333
47 1647 0.016393
47 1777 0.111111
47 2382 0.045455
47 2805 0.111111
47 3291 0.055556
47 3647 0.083333
47 3688 0.125000
47 3737 0.111111
47 3738 0.125000
47 3739 0.500000
49 178 0.166667
49 486 0.500000
49 3786 1.000000
50 117 0.055556
50 523 0.008547
50 721 0.040000
50 1801 0.142857
50 2369 0.050000
50 2998 0.041667
50 3475 0.050000
50 3898 1.000000
51 109 0.023256
51 407 0.040000
51 531 0.035714
51 537 0.020833
51 1527 0.052632
51 1539 0.062500
51 1595 0.022222
51 1647 0.016393
51 2374 0.125000
51 2382 0.045455
51 3463 0.052632
51 3916 0.090909
52 236 0.045455
52 321 0.041667
52 877 0.025641
52 951 0.007634
52 1378 0.038462
53 75 0.250000
53 2459 0.250000
55 1387 0.014085
56 240 0.250000
56 251 0.066667
56 382 0.031250
56 425 0.016667
56 905 0.045455
56 1488 0.040000
56 1954 0.166667
56 2381 0.045455
56 2516 0.058824
56 2961 0.025000
56 3991 0.250000
56 3992 0.083333
56 3993 1.000000
57 362 0.020408
57 549 0.041667
57 1337 0.050000
57 1414 0.111111
57 1647 0.016393
57 2556 0.052632
59 27 0.009259
59 576 0.055556
59 1529 0.029412
60 415 0.030303
60 578 0.200000
60 881 0.052632
60 1388 0.012987
60 3807 0.142857
60 4112 0.250000
61 4127 0.166667
62 369 0.027027
62 438 0.013699
62 496 0.038462
63 1018 0.050000
63 3278 0.071429
63 3624 0.166667
63 4183 1.000000
63 4184 1.000000
63 4185 1.000000
63 4186 0.500000
63 4187 0.250000
63 4188 1.000000
63 4189 1.000000
63 4190 0.500000
63 4191 1.000000
66 565 0.055556
68 5 0.012048
68 14 0.013514
68 244 0.030303
68 415 0.030303
68 438 0.013699
68 553 0.027778
68 993 0.015625
68 997 0.038462
68 1609 0.021739
68 1660 0.052632
68 2371 0.037037
70 63 0.050000
70 826 0.016667
76 26 0.023810
76 1219 0.018182
80 523 0.008547
80 579 0.055556
80 827 0.014706
80 904 0.016949
80 1023 0.033333
80 1492 0.041667
80 1495 0.033333
80 1729 0.052632
80 1742 0.055556
80 4043 0.142857
80 4318 0.166667
80 4319 0.333333
82 121 0.035714
82 525 0.013889
82 530 0.028571
82 881 0.052632
82 1338 0.034483
82 1477 0.023256
82 1749 0.111111
86 4111 0.166667
87 1452 0.083333
89 7 0.008772
89 17 0.033333
89 244 0.030303
89 252 0.030303
89 339 0.018182
89 368 0.045455
89 377 0.040000
89 460 0.250000
89 498 0.008772
89 538 0.083333
89 545 0.037037
89 565 0.055556
89 569 0.016667
89 570 0.034483
89 650 0.058824
89 789 0.030303
89 799 0.031250
89 826 0.016667
89 968 0.050000
89 1012 0.027027
89 1064 0.500000
89 1197 0.033333
89 1304 0.041667
89 1313 0.022727
89 1339 0.019231
89 1340 0.058824
89 1341 0.015873
89 1342 0.100000
89 1552 0.037037
89 1563 0.035714
89 1576 0.019608
89 1620 0.100000
89 1659 0.076923
89 1666 0.034483
89 1740 0.071429
89 1967 0.111111
89 2147 0.026316
89 2354 0.052632
89 2510 0.034483
89 2545 0.250000
89 2568 0.016949
89 2576 0.025000
89 2753 0.166667
89 3421 0.111111
89 3424 0.250000
89 3502 0.100000
89 3547 0.083333
89 3857 0.038462
89 4035 0.500000
89 4114 0.250000
89 4303 0.333333
89 4343 1.000000
89 4450 0.062500
89 4456 0.333333
89 4459 0.142857
89 4460 0.500000
89 4461 0.166667
89 4462 0.040000
89 4463 0.333333
89 4464 0.333333
89 4465 0.071429
89 4466 1.000000
89 4467 0.111111
89 4468 1.000000
89 4469 0.058824
89 4470 1.000000
89 4471 0.100000
89 4472 1.000000
89 4473 1.000000
89 4474 1.000000
89 4475 0.333333
89 4476 0.111111
89 4477 0.500000
89 4478 0.500000
89 4479 1.000000
89 4480 1.000000
89 4481 1.000000
89 4482 0.500000
89 4483 1.000000
89 4484 1.000000
89 4485 1.000000
89 4486 1.000000
89 4487 0.333333
89 4488 1.000000
89 4489 1.000000
89 4490 1.000000
89 4491 0.200000
89 4492 0.250000
89 4493 0.076923
89 4494 0.500000
89 4495 1.000000
89 4496 0.333333
89 4497 0.250000
89 4498 0.250000
89 4499 0.333333
90 2021 0.250000
90 4512 1.000000
93 286 0.027778
93 969 0.050000
93 1050 0.100000
93 1622 0.200000
93 2770 0.047619
93 3300 0.066667
94 113 0.022222
94 121 0.035714
94 366 0.250000
94 537 0.020833
94 2382 0.045455
94 3766 0.071429
94 3821 0.200000
94 3843 0.200000
95 576 0.055556
96 80 0.111111
96 880 0.025000
102 418 0.020000
104 161 0.015152
104 1163 0.020833
107 32 0.028571
107 436 0.016949
107 4604 0.500000
109 110 0.083333
109 111 0.015152
109 112 0.014493
109 113 0.022222
109 114 0.017857
109 115 0.030303
109 116 0.066667
109 117 0.055556
109 118 0.333333
109 119 0.071429
109 120 0.032258
109 121 0.035714
109 122 0.058824
109 123 0.008772
109 124 0.020000
109 125 0.012987
109 126 0.100000
109 127 0.023810
109 128 0.030303
109 129 0.035714
109 130 0.071429
109 131 0.125000
109 132 0.100000
109 133 0.043478
109 134 0.062500
109 135 0.047619
109 136 0.031250
109 137 0.030303
109 138 0.142857
109 139 0.083333
109 140 0.083333
109 141 0.100000
109 142 0.125000
109 143 0.500000
109 144 1.000000
109 145 0.111111
109 146 0.083333
109 147 0.500000
109 148 1.000000
109 149 0.333333
109 150 1.000000
109 151 1.000000
109 152 1.000000
109 153 1.000000
109 154 1.000000
109 155 0.500000
110 205 0.200000
111 161 0.015152
111 162 0.020000
111 452 0.032258
111 498 0.008772
111 499 0.008696
111 500 0.076923
111 501 0.100000
111 502 0.090909
111 503 0.333333
111 504 0.125000
111 505 0.500000
111 506 0.125000
111 507 0.500000
111 508 0.027778
111 509 0.083333
111 510 1.000000
111 511 1.000000
111 512 1.000000
111 513 0.066667
111 514 1.000000
111 515 1.000000
111 516 0.083333
111 517 1.000000
111 518 0.500000
111 519 1.000000
111 520 1.000000
111 521 1.000000
111 522 0.333333
112 137 0.030303
112 338 0.009524
112 619 0.076923
112 790 0.020408
112 904 0.016949
112 1026 0.030303
112 1180 0.142857
112 1496 0.043478
112 1617 0.035714
112 1776 0.026316
112 2236 0.052632
112 2237 0.142857
112 2238 0.062500
113 112 0.014493
113 129 0.035714
113 186 0.026316
113 364 0.016129
113 379 0.019231
113 437 0.014925
113 523 0.008547
113 643 0.027027
113 996 0.052632
113 1016 0.018868
113 1325 0.028571
113 1457 0.028571
113 1776 0.026316
113 1870 0.058824
113 2290 0.020408
113 2372 0.333333
113 2373 0.111111
113 2374 0.125000
114 109 0.023256
114 120 0.032258
114 123 0.008772
114 244 0.030303
114 337 0.018519
114 390 0.012987
114 415 0.030303
114 527 0.016667
114 556 0.071429
114 859 0.045455
114 1533 0.062500
114 1663 0.043478
114 1729 0.052632
114 1809 0.100000
114 2353 0.047619
114 2518 0.029412
114 2562 0.125000
114 2563 0.023256
114 2564 0.200000
114 2565 0.166667
114 2566 0.200000
114 2567 0.071429
114 2568 0.016949
114 2569 0.333333
114 2570 0.142857
114 2571 0.500000
114 2572 0.111111
115 132 0.100000
115 400 0.025641
115 405 0.012658
115 437 0.014925
115 528 0.052632
115 772 0.023256
115 774 0.045455
115 874 0.008850
115 914 0.027778
115 1014 0.038462
115 1325 0.028571
115 1528 0.142857
115 1660 0.052632
115 2811 0.333333
115 3403 0.100000
115 3404 1.000000
115 3405 1.000000
116 452 0.032258
116 913 0.018519
116 1539 0.062500
116 2371 0.037037
116 3463 0.052632
116 3810 0.050000
116 3811 0.333333
117 729 0.062500
117 924 0.027778
117 1178 0.047619
117 1340 0.058824
117 1807 0.111111
117 2509 0.333333
117 3094 0.058824
117 3291 0.055556
117 3856 0.200000
117 3909 0.333333
117 3910 0.333333
117 3911 0.250000
119 112 0.014493
119 407 0.040000
119 438 0.013699
119 547 0.030303
119 548 0.055556
119 565 0.055556
119 976 0.062500
119 1012 0.027027
119 1219 0.018182
119 1388 0.012987
119 1417 0.029412
119 1457 0.028571
119 2666 0.090909
119 4076 0.500000
119 4077 0.200000
119 4078 0.333333
119 4079 1.000000
119 4080 0.071429
120 525 0.013889
120 803 0.016393
120 875 0.025000
120 952 0.032258
120 984 0.166667
120 1389 0.016949
120 2563 0.023256
120 3384 0.035714
120 3463 0.052632
120 4080 0.071429
121 14 0.013514
121 19 0.500000
121 90 0.166667
121 115 0.030303
121 373 0.100000
121 390 0.012987
121 404 0.016667
121 425 0.016667
121 429 0.012346
121 449 0.016949
121 543 0.018868
121 971 0.012821
121 1617 0.035714
121 1679 0.076923
121 1682 0.062500
121 1794 0.071429
121 2992 0.071429
121 4241 0.333333
121 4242 0.500000
122 45 0.058824
122 252 0.030303
122 408 0.012346
122 410 0.045455
122 695 0.200000
122 859 0.045455
122 2447 0.050000
122 2915 0.166667
122 3286 0.062500
122 3850 0.125000
122 3904 0.125000
122 4267 0.200000
124 18 0.083333
124 341 0.027027
124 360 0.028571
124 535 0.062500
124 779 0.100000
124 2398 0.250000
124 2907 0.166667
124 4683 0.333333
125 643 0.027027
125 794 0.100000
125 833 0.018182
125 1208 0.066667
125 1538 0.071429
125 1549 0.055556
125 1728 0.020833
125 2213 0.023810
125 2456 0.200000
125 3002 0.020000
125 3987 0.166667
125 4003 0.066667
125 4569 0.142857
125 4819 0.250000
125 4820 0.333333
125 4821 0.333333
126 16 0.100000
126 774 0.045455
126 1662 0.027778
126 2074 0.142857
126 2948 0.058824
126 4824 0.142857
126 4969 0.125000
126 4970 0.250000
126 4971 0.500000
127 70 0.090909
127 275 0.250000
127 363 0.034483
127 791 0.125000
127 852 0.055556
127 917 0.200000
127 1141 0.333333
127 1254 0.500000
127 1312 0.055556
127 1399 0.090909
127 1426 0.040000
127 1464 0.022222
127 1577 0.027027
127 2150 0.166667
127 2998 0.041667
127 3006 0.090909
127 3550 0.500000
127 4211 0.047619
127 4622 0.500000
127 4629 0.500000
127 4805 0.250000
127 5036 1.000000
127 5037 0.500000
127 5038 1.000000
127 5039 0.250000
127 5040 1.000000
127 5041 1.000000
127 5042 1.000000
127 5043 1.000000
127 5044 0.166667
128 281 0.066667
128 322 0.020408
128 325 0.045455
128 379 0.019231
128 645 0.008264
128 1004 0.038462
128 1417 0.029412
128 1964 0.200000
128 2106 0.047619
128 2331 0.030303
128 2434 0.022727
128 2982 0.041667
128 3322 0.090909
128 3650 0.037037
128 4025 0.083333
128 4788 0.083333
128 4848 0.050000
128 5046 0.500000
128 5047 0.500000
128 5048 0.500000
128 5049 0.200000
128 5050 1.000000
128 5051 0.166667
129 15 0.031250
129 23 0.024390
129 133 0.043478
129 167 0.025000
129 183 0.027778
129 197 0.062500
129 221 0.006024
129 331 0.023256
129 338 0.009524
129 526 0.020000
129 530 0.028571
129 584 0.052632
129 712 0.333333
129 719 0.076923
129 881 0.052632
129 1037 0.035714
129 1060 0.250000
129 1163 0.020833
129 1281 0.333333
129 1339 0.019231
129 1407 0.058824
129 1462 0.166667
129 1725 0.166667
129 1773 0.037037
129 2110 0.043478
129 2328 0.030303
129 3361 0.142857
129 3463 0.052632
129 4695 0.500000
129 4883 0.333333
129 4896 0.200000
129 5069 0.166667
129 5090 0.500000
129 5091 0.500000
129 5092 0.333333
129 5093 1.000000
129 5094 0.111111
129 5095 1.000000
129 5096 0.500000
129 5097 1.000000
129 5098 1.000000
130 406 0.013158
130 544 0.015625
130 847 0.062500
130 913 0.018519
130 1325 0.028571
130 1435 0.052632
130 1781 0.026316
130 3802 0.071429
130 4282 0.055556
130 4585 0.250000
130 5099 1.000000
130 5100 1.000000
130 5101 1.000000
130 5102 1.000000
131 330 0.100000
131 886 0.037037
131 901 0.032258
131 913 0.018519
131 1796 0.030303
131 1797 0.500000
131 2244 0.035714
131 3208 0.250000
131 5106 0.071429
131 5107 1.000000
131 5108 0.333333
131 5109 1.000000
131 5110 0.500000
131 5111 0.500000
131 5112 0.250000
131 5113 0.333333
131 5114 0.333333
132 336 0.025641
132 409 0.013333
132 788 0.021277
132 1016 0.018868
132 2020 0.058824
133 17 0.033333
133 267 0.011628
133 276 0.034483
133 579 0.055556
133 907 0.111111
133 921 0.030303
133 1026 0.030303
133 1348 0.055556
133 2643 0.142857
134 234 0.033333
134 300 0.052632
134 371 0.034483
134 498 0.008772
134 508 0.027778
134 529 0.045455
134 876 0.030303
134 1044 0.016667
134 1078 0.125000
134 1423 0.031250
134 1728 0.020833
134 1808 0.100000
134 2209 0.027027
134 5227 0.333333
134 5228 1.000000
134 5229 0.125000
134 5230 1.000000
134 5231 1.000000
135 362 0.020408
135 383 0.076923
135 525 0.013889
135 971 0.012821
135 1163 0.020833
135 1464 0.022222
135 2189 0.166667
135 5245 0.500000
136 132 0.100000
136 133 0.043478
136 181 0.018519
136 286 0.027778
136 425 0.016667
136 577 0.033333
136 881 0.052632
136 971 0.012821
136 996 0.052632
136 1014 0.038462
136 1131 0.250000
136 1197 0.033333
136 1325 0.028571
136 1335 0.062500
136 1710 0.055556
136 1717 0.035714
136 2059 0.076923
136 2913 0.200000
136 3063 0.200000
136 3787 0.200000
136 3791 0.166667
136 4789 0.166667
136 5277 1.000000
136 5278 1.000000
136 5279 1.000000
136 5280 0.500000
136 5281 1.000000
136 5282 1.000000
136 5283 1.000000
136 5284 0.333333
136 5285 1.000000
137 112 0.014493
137 418 0.020000
137 790 0.020408
137 795 0.015385
137 1286 0.020408
137 5297 0.166667
137 5298 1.000000
137 5299 1.000000
137 5300 0.250000
137 5301 1.000000
138 1045 0.026316
138 1203 0.052632
138 2379 0.055556
138 2505 0.047619
138 5309 0.125000
138 5310 0.055556
138 5311 0.111111
138 5312 0.500000
138 5313 0.142857
139 854 0.047619
139 1356 0.076923
139 1426 0.040000
139 1748 0.017857
139 3060 0.125000
139 3471 0.250000
139 4467 0.111111
139 5322 0.142857
139 5323 1.000000
139 5324 0.142857
139 5325 1.000000
140 50 0.142857
140 331 0.023256
140 774 0.045455
140 1975 0.083333
140 2034 0.076923
140 2370 0.055556
140 2556 0.052632
140 3810 0.050000
140 5337 1.000000
140 5338 1.000000
141 161 0.015152
141 365 0.021277
141 368 0.045455
141 631 0.010638
141 858 0.100000
141 1062 0.058824
141 1803 0.026316
141 1957 0.071429
141 2203 0.333333
141 2353 0.047619
141 2434 0.022727
141 4083 0.047619
141 5382 0.083333
141 5438 0.500000
141 5439 1.000000
141 5440 0.142857
141 5441 0.333333
141 5442 1.000000
